ARS,WBA,1730,1,9825,8659,1,0,2008-08-16 00:00:00
SUN,LIV,1731,1,8472,8650,0,1,2008-08-16 00:00:00
WHU,WIG,1732,1,8654,8528,2,1,2008-08-16 00:00:00
EVE,BLB,1734,1,8668,8655,2,3,2008-08-16 00:00:00
MID,TOT,1735,1,8549,8586,2,1,2008-08-16 00:00:00
BOL,STK,1736,1,8559,10194,3,1,2008-08-16 00:00:00
HUL,FUL,1737,1,8667,9879,2,1,2008-08-16 00:00:00
MUN,NEW,1729,1,10260,10261,1,1,2008-08-17 00:00:00
AVL,MCI,1733,1,10252,8456,4,2,2008-08-17 00:00:00
CHE,POR,1738,1,8455,8462,4,0,2008-08-17 00:00:00
LIV,MID,1839,2,8650,8549,2,1,2008-08-23 00:00:00
TOT,SUN,1840,2,8586,8472,1,2,2008-08-23 00:00:00
NEW,BOL,1841,2,10261,8559,1,0,2008-08-23 00:00:00
BLB,HUL,1843,2,8655,8667,1,1,2008-08-23 00:00:00
FUL,ARS,1844,2,9879,9825,1,0,2008-08-23 00:00:00
WBA,EVE,1845,2,8659,8668,1,2,2008-08-23 00:00:00
STK,AVL,1847,2,10194,10252,3,2,2008-08-23 00:00:00
MCI,WHU,1842,2,8456,8654,3,0,2008-08-24 00:00:00
WIG,CHE,1848,2,8528,8455,0,1,2008-08-24 00:00:00
POR,MUN,1846,2,8462,10260,0,1,2008-08-25 00:00:00
ARS,NEW,1950,3,9825,10261,3,0,2008-08-30 00:00:00
WHU,BLB,1952,3,8654,8655,4,1,2008-08-30 00:00:00
EVE,POR,1954,3,8668,8462,0,3,2008-08-30 00:00:00
MID,STK,1955,3,8549,10194,2,1,2008-08-30 00:00:00
BOL,WBA,1956,3,8559,8659,0,0,2008-08-30 00:00:00
HUL,WIG,1957,3,8667,8528,0,5,2008-08-30 00:00:00
SUN,MCI,1951,3,8472,8456,0,3,2008-08-31 00:00:00
AVL,LIV,1953,3,10252,8650,0,0,2008-08-31 00:00:00
CHE,TOT,1958,3,8455,8586,1,1,2008-08-31 00:00:00
LIV,MUN,2049,4,8650,10260,2,1,2008-09-13 00:00:00
NEW,HUL,2051,4,10261,8667,1,2,2008-09-13 00:00:00
MCI,CHE,2052,4,8456,8455,1,3,2008-09-13 00:00:00
BLB,ARS,2053,4,8655,9825,0,4,2008-09-13 00:00:00
FUL,BOL,2054,4,9879,8559,2,1,2008-09-13 00:00:00
WBA,WHU,2055,4,8659,8654,3,2,2008-09-13 00:00:00
POR,MID,2056,4,8462,8549,2,1,2008-09-13 00:00:00
WIG,SUN,2058,4,8528,8472,1,1,2008-09-13 00:00:00
STK,EVE,2057,4,10194,8668,2,3,2008-09-14 00:00:00
