AND,KOR,1673,30,8635,8571,3,0,2016-03-13 00:00:00,2015/2016,1.67,4,4.75
GEN,OOS,1674,30,9987,8573,4,1,2016-03-13 00:00:00,2015/2016,1.65,3.9,5
MEC,STL,1675,30,8203,9985,4,0,2016-03-13 00:00:00,2015/2016,4.3,3.9,1.75
ZUL,MOP,1676,30,10000,274581,3,0,2016-03-13 00:00:00,2015/2016,1.83,3.8,4
CHA,GEN,1677,30,9986,9991,1,1,2016-03-13 00:00:00,2015/2016,3.5,3.5,2.05
O-H,CLB,1678,30,1773,8342,0,1,2016-03-13 00:00:00,2015/2016,3.2,3.7,2.1
WES,WAA,1679,30,10001,8475,1,0,2016-03-13 00:00:00,2015/2016,1.8,3.9,4
STT,LOK,1680,30,9997,9994,1,1,2016-03-13 00:00:00,2015/2016,2.1,3.5,3.4
CLB,STT,1657,29,8342,9997,3,0,2016-03-05 00:00:00,2015/2016,1.2,6.5,13
STL,GEN,1658,29,9985,9987,2,1,2016-03-05 00:00:00,2015/2016,2,3.5,3.6
OOS,CHA,1660,29,8573,9986,2,1,2016-03-05 00:00:00,2015/2016,2.45,3.5,2.75
MOP,AND,1661,29,274581,8635,2,1,2016-03-05 00:00:00,2015/2016,4.3,3.7,1.8
LOK,WES,1662,29,9994,10001,2,1,2016-03-05 00:00:00,2015/2016,1.65,3.9,5
KOR,ZUL,1663,29,8571,10000,1,0,2016-03-05 00:00:00,2015/2016,2.15,3.5,3.2
WAA,MEC,1664,29,8475,8203,0,0,2016-03-05 00:00:00,2015/2016,2.38,3.6,2.75
GEN,O-H,1659,29,9991,1773,1,1,2016-03-04 00:00:00,2015/2016,1.36,5,8
AND,STL,1649,28,8635,9985,3,3,2016-02-28 00:00:00,2015/2016,2.1,3.5,3.4
GEN,CLB,1651,28,9987,8342,3,2,2016-02-28 00:00:00,2015/2016,3.25,3.5,2.15
CHA,WAA,1653,28,9986,8475,2,3,2016-02-28 00:00:00,2015/2016,1.53,4.1,6
MEC,KOR,1652,28,8203,8571,0,2,2016-02-27 00:00:00,2015/2016,2.3,3.4,3
O-H,OOS,1654,28,1773,8573,4,1,2016-02-27 00:00:00,2015/2016,2.3,3.5,2.9
WES,MOP,1655,28,10001,274581,2,2,2016-02-27 00:00:00,2015/2016,2.45,3.5,2.75
STT,ZUL,1656,28,9997,10000,1,2,2016-02-27 00:00:00,2015/2016,2.8,3.5,2.4
GEN,LOK,1650,28,9991,9994,3,1,2016-02-26 00:00:00,2015/2016,1.33,5,9
OOS,GEN,1643,27,8573,9991,5,2,2016-02-21 00:00:00,2015/2016,3.7,3.5,2
ZUL,MEC,1644,27,10000,8203,2,3,2016-02-21 00:00:00,2015/2016,2,3.7,3.5
WAA,AND,1648,27,8475,8635,1,0,2016-02-21 00:00:00,2015/2016,6,4.4,1.5
STL,CHA,1642,27,9985,9986,3,0,2016-02-20 00:00:00,2015/2016,1.75,3.6,4.75
MOP,O-H,1645,27,274581,1773,3,1,2016-02-20 00:00:00,2015/2016,2.15,3.5,3.25
LOK,GEN,1646,27,9994,9987,0,0,2016-02-20 00:00:00,2015/2016,2.9,3.25,2.45
KOR,STT,1647,27,8571,9997,3,0,2016-02-20 00:00:00,2015/2016,1.7,3.6,5.2
CLB,WES,1641,27,8342,10001,6,0,2016-02-19 00:00:00,2015/2016,1.18,7,15
OOS,CLB,1636,26,8573,8342,0,2,2016-02-14 00:00:00,2015/2016,3.4,3.6,2.05
WES,STL,1639,26,10001,9985,2,0,2016-02-14 00:00:00,2015/2016,3.75,3.7,1.93
