MUN,BOU,4702,38,10260,8678,3,1,2016-05-17 00:00:00,2015/2016,1.67,4.1,5.2
ARS,AVL,4699,38,9825,10252,4,0,2016-05-15 00:00:00,2015/2016,1.15,9,21
CHE,LEI,4700,38,8455,8197,1,1,2016-05-15 00:00:00,2015/2016,2.3,3.75,3.1
EVE,NOR,4701,38,8668,9850,3,0,2016-05-15 00:00:00,2015/2016,1.8,3.9,4.6
NEW,TOT,4703,38,10261,8586,5,1,2016-05-15 00:00:00,2015/2016,4.6,4,1.75
SOU,CRY,4704,38,8466,9826,4,1,2016-05-15 00:00:00,2015/2016,1.33,5.5,10
STK,WHU,4705,38,10194,8654,2,1,2016-05-15 00:00:00,2015/2016,3.5,3.8,2.1
SWA,MCI,4706,38,10003,8456,1,1,2016-05-15 00:00:00,2015/2016,5.2,4.75,1.53
WAT,SUN,4707,38,9817,8472,2,2,2016-05-15 00:00:00,2015/2016,2.05,3.75,3.7
WBA,LIV,4708,38,8659,8650,1,1,2016-05-15 00:00:00,2015/2016,2.38,3.6,3
LIV,CHE,4623,30,8650,8455,1,1,2016-05-11 00:00:00,2015/2016,2,3.8,3.8
SUN,EVE,4627,30,8472,8668,3,0,2016-05-11 00:00:00,2015/2016,1.75,4,4.8
NOR,WAT,4675,35,9850,9817,4,2,2016-05-11 00:00:00,2015/2016,1.83,3.75,4.75
WHU,MUN,4678,35,8654,10260,3,2,2016-05-10 00:00:00,2015/2016,2.9,3.5,2.5
LIV,WAT,4693,37,8650,9817,2,0,2016-05-08 00:00:00,2015/2016,1.5,4.5,7
MCI,ARS,4694,37,8456,9825,2,2,2016-05-08 00:00:00,2015/2016,2.55,3.5,2.88
TOT,SOU,4697,37,8586,8466,1,2,2016-05-08 00:00:00,2015/2016,2,3.7,3.9
AVL,NEW,4689,37,10252,10261,0,0,2016-05-07 00:00:00,2015/2016,5.75,4,1.65
BOU,WBA,4690,37,8678,8659,1,1,2016-05-07 00:00:00,2015/2016,1.93,3.6,4.4
CRY,STK,4691,37,9826,10194,2,1,2016-05-07 00:00:00,2015/2016,2.05,3.5,3.9
LEI,EVE,4692,37,8197,8668,3,1,2016-05-07 00:00:00,2015/2016,1.87,3.9,4.2
NOR,MUN,4695,37,9850,10260,0,1,2016-05-07 00:00:00,2015/2016,4.75,3.6,1.87
SUN,CHE,4696,37,8472,8455,3,2,2016-05-07 00:00:00,2015/2016,3,3.5,2.45
WHU,SWA,4698,37,8654,10003,1,4,2016-05-07 00:00:00,2015/2016,1.44,4.8,8
CHE,TOT,4680,36,8455,8586,2,2,2016-05-02 00:00:00,2015/2016,2.75,3.6,2.63
MUN,LEI,4682,36,10260,8197,1,1,2016-05-01 00:00:00,2015/2016,2.1,3.3,4.1
SOU,MCI,4684,36,8466,8456,4,2,2016-05-01 00:00:00,2015/2016,2.7,3.5,2.7
SWA,LIV,4686,36,10003,8650,3,1,2016-05-01 00:00:00,2015/2016,3.13,3.5,2.38
ARS,NOR,4679,36,9825,9850,1,0,2016-04-30 00:00:00,2015/2016,1.25,6.5,13
EVE,BOU,4681,36,8668,8678,2,1,2016-04-30 00:00:00,2015/2016,2,3.8,3.8
NEW,CRY,4683,36,10261,9826,1,0,2016-04-30 00:00:00,2015/2016,1.95,3.6,4.2
STK,SUN,4685,36,10194,8472,1,1,2016-04-30 00:00:00,2015/2016,2.75,3.3,2.8
WAT,AVL,4687,36,9817,10252,3,2,2016-04-30 00:00:00,2015/2016,1.7,3.8,5.5
