BOU,AVL,4390,1,8678,10252,0,1,2015-08-08 00:00:00
CHE,SWA,4391,1,8455,10003,2,2,2015-08-08 00:00:00
EVE,WAT,4392,1,8668,9817,2,2,2015-08-08 00:00:00
LEI,SUN,4393,1,8197,8472,4,2,2015-08-08 00:00:00
MUN,TOT,4394,1,10260,8586,1,0,2015-08-08 00:00:00
NOR,CRY,4396,1,9850,9826,1,3,2015-08-08 00:00:00
ARS,WHU,4389,1,9825,8654,0,2,2015-08-09 00:00:00
NEW,SOU,4395,1,10261,8466,2,2,2015-08-09 00:00:00
STK,LIV,4397,1,10194,8650,0,1,2015-08-09 00:00:00
WBA,MCI,4398,1,8659,8456,0,3,2015-08-10 00:00:00
AVL,MUN,4499,2,10252,10260,0,1,2015-08-14 00:00:00
SOU,EVE,4503,2,8466,8668,0,3,2015-08-15 00:00:00
SUN,NOR,4504,2,8472,9850,1,3,2015-08-15 00:00:00
SWA,NEW,4505,2,10003,10261,2,0,2015-08-15 00:00:00
TOT,STK,4506,2,8586,10194,2,2,2015-08-15 00:00:00
WAT,WBA,4507,2,9817,8659,0,0,2015-08-15 00:00:00
WHU,LEI,4508,2,8654,8197,1,2,2015-08-15 00:00:00
CRY,ARS,4500,2,9826,9825,1,2,2015-08-16 00:00:00
MCI,CHE,4502,2,8456,8455,3,0,2015-08-16 00:00:00
LIV,BOU,4501,2,8650,8678,1,0,2015-08-17 00:00:00
CRY,AVL,4610,3,9826,10252,2,1,2015-08-22 00:00:00
LEI,TOT,4612,3,8197,8586,1,1,2015-08-22 00:00:00
MUN,NEW,4613,3,10260,10261,0,0,2015-08-22 00:00:00
NOR,STK,4614,3,9850,10194,1,1,2015-08-22 00:00:00
SUN,SWA,4615,3,8472,10003,1,1,2015-08-22 00:00:00
WHU,BOU,4618,3,8654,8678,3,4,2015-08-22 00:00:00
EVE,MCI,4611,3,8668,8456,0,2,2015-08-23 00:00:00
WAT,SOU,4616,3,9817,8466,0,0,2015-08-23 00:00:00
WBA,CHE,4617,3,8659,8455,2,3,2015-08-23 00:00:00
ARS,LIV,4609,3,9825,8650,0,0,2015-08-24 00:00:00
AVL,SUN,4709,4,10252,8472,2,2,2015-08-29 00:00:00
BOU,LEI,4710,4,8678,8197,1,1,2015-08-29 00:00:00
CHE,CRY,4711,4,8455,9826,1,2,2015-08-29 00:00:00
LIV,WHU,4712,4,8650,8654,0,3,2015-08-29 00:00:00
