BMU,HAN,10194,34,9823,9904,3,1,2016-05-14 00:00:00,2015/2016,1.13,10,20
DOR,FCK,10195,34,9789,8722,2,2,2016-05-14 00:00:00,2015/2016,1.3,6,9.5
LEV,ING,10196,34,8178,8234,3,2,2016-05-14 00:00:00,2015/2016,1.53,4.75,5.75
WOL,STU,10197,34,8721,10269,3,1,2016-05-14 00:00:00,2015/2016,2.38,4.1,2.7
AUG,HAM,10198,34,8406,9790,1,3,2016-05-14 00:00:00,2015/2016,2,3.7,3.7
WBR,EFR,10199,34,8697,9810,1,0,2016-05-14 00:00:00,2015/2016,2,3.8,3.6
HOF,S04,10200,34,8226,10189,1,4,2016-05-14 00:00:00,2015/2016,3,3.9,2.2
MAI,HBE,10201,34,9905,8177,0,0,2016-05-14 00:00:00,2015/2016,2.1,3.6,3.5
DAR,GLA,10202,34,8262,9788,0,2,2016-05-14 00:00:00,2015/2016,3.6,3.8,2
S04,AUG,10185,33,10189,8406,1,1,2016-05-07 00:00:00,2015/2016,1.73,4.1,4.6
GLA,LEV,10186,33,9788,8178,2,1,2016-05-07 00:00:00,2015/2016,1.9,4,3.8
HAM,WOL,10187,33,9790,8721,0,1,2016-05-07 00:00:00,2015/2016,2.7,3.4,2.63
STU,MAI,10188,33,10269,9905,1,3,2016-05-07 00:00:00,2015/2016,2.1,4,3.2
EFR,DOR,10189,33,9810,9789,1,0,2016-05-07 00:00:00,2015/2016,6.5,5,1.45
FCK,WBR,10190,33,8722,8697,0,0,2016-05-07 00:00:00,2015/2016,2.75,3.9,2.38
HAN,HOF,10191,33,9904,8226,1,0,2016-05-07 00:00:00,2015/2016,3.25,3.75,2.1
HBE,DAR,10192,33,8177,8262,1,2,2016-05-07 00:00:00,2015/2016,1.8,3.8,4.5
ING,BMU,10193,33,8234,9823,1,2,2016-05-07 00:00:00,2015/2016,15,7,1.2
WBR,STU,10180,32,8697,10269,6,2,2016-05-02 00:00:00,2015/2016,2.05,4,3.25
BMU,GLA,10176,32,9823,9788,1,1,2016-04-30 00:00:00,2015/2016,1.44,5.2,6.5
DOR,WOL,10177,32,9789,8721,5,1,2016-04-30 00:00:00,2015/2016,1.33,5.5,9
LEV,HBE,10178,32,8178,8177,2,1,2016-04-30 00:00:00,2015/2016,1.6,4.2,5.75
HAN,S04,10181,32,9904,10189,1,3,2016-04-30 00:00:00,2015/2016,4,4.1,1.83
HOF,ING,10182,32,8226,8234,2,1,2016-04-30 00:00:00,2015/2016,1.83,3.6,4.6
MAI,HAM,10183,32,9905,9790,0,0,2016-04-30 00:00:00,2015/2016,1.75,4,4.6
DAR,EFR,10184,32,8262,9810,1,2,2016-04-30 00:00:00,2015/2016,2.5,3.5,2.88
AUG,FCK,10179,32,8406,8722,0,0,2016-04-29 00:00:00,2015/2016,2.45,3.5,2.8
GLA,HOF,10168,31,9788,8226,3,1,2016-04-24 00:00:00,2015/2016,1.62,4.6,5
