SPG,VIL,24490,38,9869,10205,2,0,2016-05-15 00:00:00,2015/2016,1.45,4.6,8
BET,GET,24491,38,8603,8305,2,1,2016-05-15 00:00:00,2015/2016,5,4,1.73
ESP,EIB,24492,38,8558,8372,4,2,2016-05-15 00:00:00,2015/2016,2.05,3.7,3.75
MAL,LAS,24495,38,9864,8306,4,1,2016-05-15 00:00:00,2015/2016,1.85,3.8,4.4
RAY,LEV,24497,38,8370,8581,3,1,2016-05-15 00:00:00,2015/2016,1.33,5.75,9
COR,REA,24489,38,9783,8633,0,2,2016-05-14 00:00:00,2015/2016,13,8.5,1.2
GRA,BAR,24493,38,7878,8634,0,3,2016-05-14 00:00:00,2015/2016,31,13,1.08
BIL,SEV,24494,38,8315,8302,3,1,2016-05-14 00:00:00,2015/2016,1.33,5.75,9.5
AMA,CEL,24496,38,9906,9910,2,0,2016-05-14 00:00:00,2015/2016,1.83,3.9,4.4
VAL,SOC,24488,38,10267,8560,0,1,2016-05-13 00:00:00,2015/2016,2,3.9,3.5
SOC,RAY,24478,37,8560,8370,2,1,2016-05-08 00:00:00,2015/2016,3.5,3.8,2.1
REA,VAL,24479,37,8633,10267,3,2,2016-05-08 00:00:00,2015/2016,1.18,8,13
VIL,COR,24480,37,10205,9783,0,2,2016-05-08 00:00:00,2015/2016,2.4,3.3,3
GET,SPG,24481,37,8305,9869,1,1,2016-05-08 00:00:00,2015/2016,2.15,3.6,3.5
EIB,BET,24482,37,8372,8603,1,1,2016-05-08 00:00:00,2015/2016,2.15,3.6,3.5
BAR,ESP,24483,37,8634,8558,5,0,2016-05-08 00:00:00,2015/2016,1.03,26,46
SEV,GRA,24484,37,8302,7878,1,4,2016-05-08 00:00:00,2015/2016,2.8,3.8,2.45
LAS,BIL,24485,37,8306,8315,0,0,2016-05-08 00:00:00,2015/2016,4,3.9,1.91
CEL,MAL,24486,37,9910,9864,1,0,2016-05-08 00:00:00,2015/2016,1.53,4.6,6.5
LEV,AMA,24487,37,8581,9906,2,1,2016-05-08 00:00:00,2015/2016,17,6.5,1.22
MAL,LEV,24476,36,9864,8581,3,1,2016-05-02 00:00:00,2015/2016,2.2,3.5,3.5
VAL,VIL,24469,36,10267,10205,0,2,2016-05-01 00:00:00,2015/2016,2.15,3.5,3.5
COR,GET,24470,36,9783,8305,0,2,2016-05-01 00:00:00,2015/2016,2.25,3.5,3.3
ESP,SEV,24473,36,8558,8302,1,0,2016-05-01 00:00:00,2015/2016,2.38,3.6,3
BIL,CEL,24475,36,8315,9910,2,1,2016-05-01 00:00:00,2015/2016,1.85,3.9,4.3
SOC,REA,24468,36,8560,8633,0,1,2016-04-30 00:00:00,2015/2016,5,4.33,1.67
BET,BAR,24472,36,8603,8634,0,2,2016-04-30 00:00:00,2015/2016,23,11,1.12
GRA,LAS,24474,36,7878,8306,3,2,2016-04-30 00:00:00,2015/2016,1.62,4.1,6
AMA,RAY,24477,36,9906,8370,1,0,2016-04-30 00:00:00,2015/2016,1.29,6,11.5
SPG,EIB,24471,36,9869,8372,2,0,2016-04-29 00:00:00,2015/2016,1.67,3.9,5.75
CEL,GRA,24465,35,9910,7878,2,1,2016-04-25 00:00:00,2015/2016,1.53,4.33,6
VIL,SOC,24459,35,10205,8560,0,0,2016-04-24 00:00:00,2015/2016,1.8,3.7,4.5
GET,VAL,24460,35,8305,10267,2,2,2016-04-24 00:00:00,2015/2016,3,3.5,2.3
SEV,BET,24463,35,8302,8603,2,0,2016-04-24 00:00:00,2015/2016,1.5,4.6,6
LEV,BIL,24466,35,8581,8315,2,2,2016-04-24 00:00:00,2015/2016,3.25,3.4,2.25
RAY,REA,24458,35,8370,8633,2,3,2016-04-23 00:00:00,2015/2016,7.5,5.5,1.36
EIB,COR,24461,35,8372,9783,1,1,2016-04-23 00:00:00,2015/2016,2.2,3.4,3.25
BAR,SPG,24462,35,8634,9869,6,0,2016-04-23 00:00:00,2015/2016,1.05,17,36
AMA,MAL,24467,35,9906,9864,1,0,2016-04-23 00:00:00,2015/2016,1.33,4.8,11
LAS,ESP,24464,35,8306,8558,4,0,2016-04-22 00:00:00,2015/2016,2.2,3.4,3.3
SOC,GET,24449,34,8560,8305,1,2,2016-04-21 00:00:00,2015/2016,1.57,4.33,6.25
GRA,LEV,24455,34,7878,8581,5,1,2016-04-21 00:00:00,2015/2016,2,3.5,4.1
REA,VIL,24448,34,8633,10205,3,0,2016-04-20 00:00:00,2015/2016,1.2,8,13
VAL,EIB,24450,34,10267,8372,4,0,2016-04-20 00:00:00,2015/2016,1.65,4.2,5.4
COR,BAR,24451,34,9783,8634,0,8,2016-04-20 00:00:00,2015/2016,15,7.5,1.2
SPG,SEV,24452,34,9869,8302,2,1,2016-04-20 00:00:00,2015/2016,3.1,3.7,2.3
BIL,AMA,24456,34,8315,9906,0,1,2016-04-20 00:00:00,2015/2016,4.2,3.4,2
MAL,RAY,24457,34,9864,8370,1,1,2016-04-20 00:00:00,2015/2016,1.95,3.75,4
BET,LAS,24453,34,8603,8306,1,0,2016-04-19 00:00:00,2015/2016,2.15,3.5,3.6
ESP,CEL,24454,34,8558,9910,1,1,2016-04-19 00:00:00,2015/2016,2.5,3.5,2.9
RAY,VIL,24438,33,8370,10205,2,1,2016-04-17 00:00:00,2015/2016,2.63,3.5,2.75
BAR,VAL,24441,33,8634,10267,1,2,2016-04-17 00:00:00,2015/2016,1.15,9.5,17
SEV,COR,24442,33,8302,9783,1,1,2016-04-17 00:00:00,2015/2016,1.55,4.6,6
AMA,GRA,24446,33,9906,7878,3,0,2016-04-17 00:00:00,2015/2016,1.22,6.25,18
MAL,BIL,24447,33,9864,8315,0,1,2016-04-17 00:00:00,2015/2016,2.38,3.3,3.3
GET,REA,24439,33,8305,8633,1,5,2016-04-16 00:00:00,2015/2016,10,6.25,1.3
EIB,SOC,24440,33,8372,8560,2,1,2016-04-16 00:00:00,2015/2016,2.8,3.3,2.7
LAS,SPG,24443,33,8306,9869,1,1,2016-04-16 00:00:00,2015/2016,1.93,3.6,4.33
CEL,BET,24444,33,9910,8603,1,1,2016-04-16 00:00:00,2015/2016,1.57,4.4,6
LEV,ESP,24445,33,8581,8558,2,1,2016-04-15 00:00:00,2015/2016,2.5,3.4,3
COR,LAS,24432,32,9783,8306,1,3,2016-04-11 00:00:00,2015/2016,2.2,3.5,3.5
VIL,GET,24428,32,10205,8305,2,0,2016-04-10 00:00:00,2015/2016,1.53,4.3,7
VAL,SEV,24431,32,10267,8302,2,1,2016-04-10 00:00:00,2015/2016,2.38,3.6,3
SPG,CEL,24433,32,9869,9910,0,1,2016-04-10 00:00:00,2015/2016,3,3.5,2.45
BIL,RAY,24437,32,8315,8370,1,0,2016-04-10 00:00:00,2015/2016,1.6,4.4,5.75
REA,EIB,24429,32,8633,8372,4,0,2016-04-09 00:00:00,2015/2016,1.17,8.5,18
SOC,BAR,24430,32,8560,8634,1,0,2016-04-09 00:00:00,2015/2016,6.5,4.4,1.53
BET,LEV,24434,32,8603,8581,1,0,2016-04-09 00:00:00,2015/2016,2.1,3.5,3.75
ESP,AMA,24435,32,8558,9906,1,3,2016-04-09 00:00:00,2015/2016,4.2,3.4,2.05
GRA,MAL,24436,32,7878,9864,0,0,2016-04-08 00:00:00,2015/2016,2.25,3.4,3.4
LEV,SPG,24424,31,8581,9869,0,0,2016-04-04 00:00:00,2015/2016,2.1,3.5,3.7
EIB,VIL,24419,31,8372,10205,1,2,2016-04-03 00:00:00,2015/2016,3,3.2,2.55
SEV,SOC,24421,31,8302,8560,1,2,2016-04-03 00:00:00,2015/2016,1.62,4.2,5.4
MAL,ESP,24426,31,9864,8558,1,1,2016-04-03 00:00:00,2015/2016,1.85,3.6,4.5
BIL,GRA,24427,31,8315,7878,1,1,2016-04-03 00:00:00,2015/2016,1.45,4.4,7.5
BAR,REA,24420,31,8634,8633,1,2,2016-04-02 00:00:00,2015/2016,1.6,4.6,5
LAS,VAL,24422,31,8306,10267,2,1,2016-04-02 00:00:00,2015/2016,2.38,3.4,3.1
CEL,COR,24423,31,9910,9783,1,1,2016-04-02 00:00:00,2015/2016,1.75,3.9,4.75
AMA,BET,24425,31,9906,8603,5,1,2016-04-02 00:00:00,2015/2016,1.36,4.8,9.5
RAY,GET,24418,31,8370,8305,2,0,2016-04-01 00:00:00,2015/2016,1.87,3.8,4.1
VIL,BAR,24409,30,10205,8634,2,2,2016-03-20 00:00:00,2015/2016,10,5.5,1.33
