1W; 1L; 1GDpS; 2W; 2L; 2GDpS; 1FW; 1FL; 1FGDpS; 2FW; 2FL; 2FGDpS; 1SW; 1SL; 1SGDpS; 2SW; 2SL; 2SGDpS; 1SFW; 1SFL; 1SFGDpS; 2SFW; 2SFL; 2SFGDpS; 1MW; 1ML; 1MGDpS; 1MSW; 1MSL; 1MSGDpS; 1R; 2R; H; C; G; dSc; dSSc; 1; 2
0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; -1; 0; 2; -1; 85; 54; 1; 0; 0; 0; 0; 0; 1
0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; -1; 0; 1; -1; 79; 44; 1; 0; 0; 0; 0; 0; 1
0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 1; 0.3333; 1; 1; 0; 52; 42; 1; 0; 0; 0; 0; 0; 1
0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 3; -0.75; 1; 2; -0.3333; 33; 63; 1; 0; 0; 0; 0; 0; 1
0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 28; 86; 1; 0; 0; 0; 0; 1; 0
0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; -1; 0; 1; -1; 81; 25; 1; 0; 0; 0; 0; 0; 1
0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; -0.5; 1; 1; -0.5; 74; 15; 1; 0; 0; 0; 0; 0; 1
0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 2; 1; 0; 2; 12; 72; 1; 0; 0; 0; 0; 1; 0
0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; -1; 0; 1; -1; 91; 4; 1; 0; 0; 0; 0; 0; 1
1; 0; 3; 1; 0; 3; 1; 0; 3; 1; 0; 3.5; 1; 0; 3; 1; 0; 3; 1; 0; 3; 1; 0; 3.5; 1; 0; 2; 1; 0; 2; 55; 63; 1; 0; 0; -97; -97; 1; 0
1; 0; 0; 1; 0; 2; 1; 0; 0.6667; 1; 0; 2.5; 1; 0; 0; 1; 0; 2; 1; 0; 0.6667; 1; 0; 2.5; 4; 4; -0.5; 2; 2; 0.25; 28; 77; 1; 0; 0; 44; 44; 1; 0
