1W; 1L; 1GDpS; 2W; 2L; 2GDpS; 1FW; 1FL; 1FGDpS; 2FW; 2FL; 2FGDpS; 1SW; 1SL; 1SGDpS; 2SW; 2SL; 2SGDpS; 1SFW; 1SFL; 1SFGDpS; 2SFW; 2SFL; 2SFGDpS; 1MW; 1ML; 1MGDpS; 1MSW; 1MSL; 1MSGDpS; 1R; 2R; H; C; G; dSc; dSSc; 1; 2
4; 1; -0.2; 3; 3; -0.1667; 4; 1; 0.0667; 3; 3; -0.4167; 4; 1; 0; 3; 3; 0; 4; 1; 0.0667; 3; 3; -0.4167; 0; 1; -2; 0; 1; -2; 94; 72; 1; 0; 0; -56; -56; 0; 1
0; 1; -3; 0; 2; -3.5; 0; 1; -3.5; 0; 2; -2.25; 0; 1; -3; 0; 2; -3; 0; 1; -3.5; 0; 2; -2.25; 1; 2; 0; 0; 1; 0; 53; 89; 1; 0; 0; 0; 0; 0; 1
1; 2; -0.3333; 1; 1; 0.5; 1; 2; -0.5; 1; 1; 1.75; 1; 2; 0; 1; 1; 0; 1; 2; -0.5; 1; 1; 1.75; 0; 1; -5; 0; 1; -5; 70; 63; 1; 0; 0; -33; -33; 0; 1
0; 1; -1; 0; 0; 0; 0; 1; -1.6667; 0; 0; 0; 0; 1; -1; 0; 0; 0; 0; 1; -1.6667; 0; 0; 0; 1; 2; 0; 0; 2; -1; 61; 47; 1; 0; 0; 0; 0; 0; 1
1; 2; -1.6667; 3; 2; 0; 1; 2; -0.5556; 3; 2; 0.2; 1; 2; -1; 3; 2; 0; 1; 2; -0.5556; 3; 2; 0.2; 1; 1; 0; 1; 1; 0; 91; 65; 1; 0; 0; -226; -226; 1; 0
2; 2; 0; 5; 2; 1.4286; 2; 2; 0.625; 5; 2; 0.4286; 2; 2; 0; 5; 2; 1; 2; 2; 0.625; 5; 2; 0.4286; 0; 1; -4; 0; 1; -4; 90; 96; 1; 0; 0; -28; -28; 0; 1
1; 2; -2.3333; 2; 2; 0; 1; 2; -1.8333; 2; 2; -0.625; 1; 2; -2; 2; 2; 0; 1; 2; -1.8333; 2; 2; -0.625; 0; 2; -2; 0; 2; -2; 48; 74; 1; 0; 0; -152; -152; 0; 1
2; 2; 0.5; 0; 1; -4; 2; 2; 1.5; 0; 1; -4; 2; 2; 0; 0; 1; -4; 2; 2; 1.5; 0; 1; -4; 1; 1; -1; 1; 1; -1; 75; 41; 1; 0; 0; 40; 40; 1; 0
2; 1; 1.3333; 1; 1; 1; 2; 1; 1.8333; 1; 1; 1; 2; 1; 1; 1; 1; 1; 2; 1; 1.8333; 1; 1; 1; 1; 1; -0.5; 1; 1; -0.5; 83; 37; 1; 0; 0; 75; 75; 0; 1
1; 1; 0.5; 0; 1; -2; 1; 1; 1; 0; 1; -2.5; 1; 1; 0; 0; 1; -2; 1; 1; 1; 0; 1; -2.5; 1; 1; 0; 1; 0; 1; 98; 97; 1; 0; 0; 20; 20; 1; 0
0; 2; -0.5; 0; 2; -1; 0; 2; -0.5; 0; 2; -1; 0; 2; 0; 0; 2; -1; 0; 2; -0.5; 0; 2; -1; 1; 1; 0.5; 1; 0; 4; 46; 71; 1; 0; 0; 0; 0; 1; 0
1; 1; -0.5; 0; 1; -3; 1; 1; 0.6667; 0; 1; -3.5; 1; 1; 0; 0; 1; -3; 1; 1; 0.6667; 0; 1; -3.5; 1; 4; -1; 1; 3; -0.5; 56; 33; 1; 0; 0; 88; 88; 1; 0
3; 2; 0.2; 0; 2; -2; 3; 2; 0.1333; 0; 2; -1; 3; 2; 0; 0; 2; -2; 3; 2; 0.1333; 0; 2; -1; 0; 2; -1.5; 0; 1; -2; 28; 80; 1; 0; 0; 238; 238; 0; 1
0; 1; -2; 3; 1; 0.75; 0; 1; -2; 3; 1; 0.75; 0; 1; -2; 3; 1; 0; 0; 1; -2; 3; 1; 0.75; 2; 0; 2; 2; 0; 2; 29; 99; 1; 0; 0; -158; -158; 1; 0
0; 0; 0; 3; 2; -0.2; 0; 0; 0; 3; 2; -0.3333; 0; 0; 0; 3; 2; 0; 0; 0; 0; 3; 2; -0.3333; 1; 2; -0.6667; 0; 2; -2.5; 26; 43; 1; 0; 0; -231; -231; 0; 1
4; 0; 1.75; 0; 1; -1; 4; 0; 0.875; 0; 1; -1.3333; 4; 0; 1; 0; 1; -1; 4; 0; 0.875; 0; 1; -1.3333; 1; 0; 4; 1; 0; 4; 31; 69; 1; 0; 0; 408; 408; 1; 0
2; 1; 0.3333; 3; 1; 1; 2; 1; 0.5; 3; 1; 0.3333; 2; 1; 0; 3; 1; 1; 2; 1; 0.5; 3; 1; 0.3333; 1; 1; 1; 1; 1; 1; 24; 42; 1; 0; 0; -20; -20; 0; 1
6; 2; 2.125; 1; 1; -1; 6; 2; 0.5625; 1; 1; 0.3333; 6; 2; 2; 1; 1; -1; 6; 2; 0.5625; 1; 1; 0.3333; 0; 2; -2.5; 0; 1; -4; 95; 17; 1; 0; 0; 322; 322; 0; 1
0; 1; -3; 3; 2; 0.2; 0; 1; -3.5; 3; 2; 0.3; 0; 1; -3; 3; 2; 0; 0; 1; -3.5; 3; 2; 0.3; 0; 1; -1; 0; 1; -1; 50; 22; 1; 0; 0; -156; -156; 0; 1
0; 1; -2; 0; 1; -2; 0; 1; -2.5; 0; 1; -2.5; 0; 1; -2; 0; 1; -2; 0; 1; -2.5; 0; 1; -2.5; 1; 0; 1; 1; 0; 1; 20; 78; 1; 0; 0; 0; 0; 1; 0
2; 2; 0.5; 1; 1; 1.5; 2; 2; 0.875; 1; 1; 2.25; 2; 2; 0; 1; 1; 1; 2; 2; 0.875; 1; 1; 2.25; 1; 4; -0.8; 0; 2; -1; 38; 19; 1; 0; 0; 76; 76; 0; 1
0; 1; 0; 0; 0; 0; 0; 1; 0.3333; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0.3333; 0; 0; 0; 0; 2; -2; 0; 2; -2; 45; 14; 1; 0; 0; 0; 0; 0; 1
4; 2; 1.6667; 1; 1; 1; 4; 2; -0.4167; 1; 1; 1.5; 4; 2; 1; 1; 1; 1; 4; 2; -0.4167; 1; 1; 1.5; 1; 1; 0; 0; 1; -1; 87; 11; 1; 0; 0; 85; 85; 0; 1
2; 2; 0; 1; 2; -1.6667; 2; 2; 0.0833; 1; 2; -1.1667; 2; 2; 0; 1; 2; -1; 2; 2; 0.0833; 1; 2; -1.1667; 4; 1; 1.2; 2; 0; 1.5; 10; 57; 1; 0; 0; 1; 1; 1; 0
0; 2; -2.5; 3; 1; 2; 0; 2; -1.5; 3; 1; 1; 0; 2; -2; 3; 1; 2; 0; 2; -1.5; 3; 1; 1; 2; 3; -0.4; 2; 2; -0.25; 40; 9; 1; 0; 0; -60; -60; 0; 1
1; 2; 0; 0; 0; 0; 1; 2; 0.3333; 0; 0; 0; 1; 2; 0; 0; 0; 0; 1; 2; 0.3333; 0; 0; 0; 0; 2; -2.5; 0; 2; -2.5; 54; 8; 1; 0; 0; 65; 65; 0; 1
1; 2; -1.3333; 0; 0; 0; 1; 2; 1; 0; 0; 0; 1; 2; -1; 0; 0; 0; 1; 2; 1; 0; 0; 0; 0; 1; -1; 0; 1; -1; 66; 7; 1; 0; 0; 110; 110; 0; 1
6; 2; 1; 4; 0; 2.25; 6; 2; -0.25; 4; 0; 0.4167; 6; 2; 1; 4; 0; 2; 6; 2; -0.25; 4; 0; 0.4167; 0; 4; -2; 0; 3; -1.6667; 73; 6; 1; 0; 0; 60; 60; 0; 1
0; 2; -2; 4; 0; 2; 0; 2; -1.25; 4; 0; 0.75; 0; 2; -2; 4; 0; 2; 0; 2; -1.25; 4; 0; 0.75; 0; 1; -3; 0; 1; -3; 68; 5; 1; 0; 0; -365; -365; 0; 1
5; 0; 2.6; 1; 2; 0; 5; 0; 0.3333; 1; 2; -0.5; 5; 0; 2; 1; 2; 0; 5; 0; 0.3333; 1; 2; -0.5; 1; 0; 1; 1; 0; 1; 4; 79; 1; 0; 0; 447; 447; 1; 0
4; 1; 1; 1; 2; -0.3333; 4; 1; 0.2667; 1; 2; -0.8333; 4; 1; 1; 1; 2; 0; 4; 1; 0.2667; 1; 2; -0.8333; 1; 0; 1; 1; 0; 1; 42; 93; 1; 0; 0; 301; 301; 1; 0
2; 1; 0.3333; 1; 1; -0.5; 2; 1; 0.4444; 1; 1; -0.75; 2; 1; 0; 1; 1; 0; 2; 1; 0.4444; 1; 1; -0.75; 1; 0; 0; 1; 0; 0; 56; 60; 1; 0; 0; 185; 185; 1; 0
1; 0; 2; 4; 1; 0.4; 1; 0; 2.25; 4; 1; 0.2667; 1; 0; 2; 4; 1; 0; 1; 0; 2.25; 4; 1; 0.2667; 1; 0; 1; 1; 0; 1; 47; 34; 1; 0; 0; -245; -245; 1; 0
1; 2; -0.6667; 1; 1; 0; 1; 2; -0.4444; 1; 1; -1.5; 1; 2; 0; 1; 1; 0; 1; 2; -0.4444; 1; 1; -1.5; 0; 1; -1; 0; 1; -1; 62; 32; 1; 0; 0; 0; 0; 0; 1
1; 2; 1; 1; 1; 0; 1; 2; -0.3333; 1; 1; -1; 1; 2; 1; 1; 1; 0; 1; 2; -0.3333; 1; 1; -1; 2; 3; -0.4; 1; 1; 0.5; 46; 29; 1; 0; 0; 28; 28; 0; 1
2; 2; 0.75; 2; 1; 1; 2; 2; -0.1667; 2; 1; 0.4444; 2; 2; 0; 2; 1; 1; 2; 2; -0.1667; 2; 1; 0.4444; 0; 1; 0; 0; 1; 0; 86; 25; 1; 0; 0; 54; 54; 0; 1
5; 0; 2.2; 2; 1; 2; 5; 0; 0.7; 2; 1; 1.1667; 5; 0; 2; 2; 1; 2; 5; 0; 0.7; 2; 1; 1.1667; 3; 1; 1; 2; 0; 2; 31; 63; 1; 0; 0; 292; 292; 1; 0
2; 1; 0.6667; 6; 2; 0.375; 2; 1; 0.2222; 6; 2; 0.1875; 2; 1; 0; 6; 2; 0; 2; 1; 0.2222; 6; 2; 0.1875; 2; 0; 1.5; 2; 0; 1.5; 17; 44; 1; 0; 0; -454; -454; 1; 0
2; 2; -0.5; 4; 2; 0.3333; 2; 2; -0.4167; 4; 2; 0.25; 2; 2; 0; 4; 2; 0; 2; 2; -0.4167; 4; 2; 0.25; 1; 1; -0.5; 1; 1; -0.5; 91; 22; 1; 0; 0; -151; -151; 1; 0
3; 2; 0.6; 1; 1; -0.5; 3; 2; 1.2; 1; 1; -1.25; 3; 2; 0; 1; 1; 0; 3; 2; 1.2; 1; 1; -1.25; 0; 2; -2; 0; 1; -2; 75; 20; 1; 0; 0; 77; 77; 0; 1
0; 0; 0; 1; 1; 0.5; 0; 0; 0; 1; 1; -0.3333; 0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 1; -0.3333; 1; 1; 0.5; 1; 1; 0.5; 64; 18; 1; 0; 0; -20; -20; 0; 1
2; 1; 1.3333; 5; 1; 1.1667; 2; 1; 0.6667; 5; 1; 0.4167; 2; 1; 1; 5; 1; 1; 2; 1; 0.6667; 5; 1; 0.4167; 0; 2; -1.5; 0; 1; -2; 37; 16; 1; 0; 0; -249; -249; 0; 1
5; 1; 0.5; 6; 2; 1.75; 5; 1; 0.4167; 6; 2; 0.375; 5; 1; 0; 6; 2; 1; 5; 1; 0.4167; 6; 2; 0.375; 1; 0; 1; 1; 0; 1; 15; 96; 1; 0; 0; 161; 161; 1; 0
5; 2; 1; 4; 1; 0.8; 5; 2; -0.1905; 4; 1; 0.5; 5; 2; 1; 4; 1; 0; 5; 2; -0.1905; 4; 1; 0.5; 2; 3; -1.2; 1; 2; -1.6667; 52; 12; 1; 0; 0; 271; 271; 1; 0
1; 1; 0.5; 2; 1; 1; 1; 1; -0.5; 2; 1; 1; 1; 1; 0; 2; 1; 1; 1; 1; -0.5; 2; 1; 1; 0; 2; -2.5; 0; 1; -2; 92; 11; 1; 0; 0; -136; -136; 0; 1
2; 0; 1; 3; 2; 0; 2; 0; 1.3333; 3; 2; 0.0667; 2; 0; 1; 3; 2; 0; 2; 0; 1.3333; 3; 2; 0.0667; 0; 1; -1; 0; 1; -1; 76; 10; 1; 0; 0; -168; -168; 0; 1
