id,rank,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Novak Djokovic,NULL,NULL,NULL,NULL,NULL,NULL,78,16,3,3,3,3,1,1,2,1,1,2,12,1
1,Rafael Nadal,NULL,NULL,NULL,NULL,49,51,2,2,2,1,2,1,2,4,1,3,5,9,1,2
2,Roger Federer,64,29,13,6,2,1,1,1,1,2,1,2,3,2,6,2,3,16,2,3
3,Alexander Zverev,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83,24,4,4
4,Juan Martin del Potro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92,44,9,5,NULL,11,7,5,NULL,NULL,38,11,5
5,Kevin Anderson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61,32,37,20,16,12,67,14,6
6,Marin Cilic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,71,23,14,14,21,15,37,9,13,6,6,7
7,Dominic Thiem,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39,20,8,5,8
8,Kei Nishikori,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,NULL,98,25,19,17,5,8,5,22,9
9,John Isner,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34,19,18,14,14,19,11,19,17,10
10,Karen Khachanov,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,53,45,11
11,Borna Coric,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44,48,48,12
12,Fabio Fognini,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,95,88,54,55,48,45,16,20,21,49,27,13
13,Kyle Edmund,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45,50,14
14,Stefanos Tsitsipas,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91,15
15,Daniil Medvedev,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,99,65,16
16,Diego Schwartzman,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61,88,52,26,17
17,Milos Raonic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31,13,11,8,14,3,24,18
18,Grigor Dimitrov,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76,48,23,11,28,17,3,19
19,Marco Cecchinato,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,NULL,NULL,20
20,Nikoloz Basilashvili,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,94,59,21
21,David Goffin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46,NULL,22,16,11,7,22
22,Pablo Carreno Busta,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,64,51,67,30,10,23
23,Roberto Bautista Agut,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,58,15,25,14,20,24
24,Hyeon Chung,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,51,NULL,58,25
25,Richard Gasquet,NULL,NULL,NULL,NULL,93,NULL,16,18,8,25,52,30,19,10,9,26,9,18,31,26
26,Denis Shapovalov,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,51,27
27,Fernando Verdasco,NULL,NULL,NULL,NULL,NULL,36,32,35,26,16,9,9,24,24,30,33,49,42,35,28
28,Gael Monfils,NULL,NULL,NULL,NULL,NULL,NULL,30,46,38,14,13,12,16,77,31,18,24,7,46,29
29,Gilles Simon,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45,29,7,15,41,12,16,19,21,15,25,89,30
30,Alex de Minaur,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31
31,Lucas Pouille,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78,15,18,32
32,Steve Johnson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,32,33,44,33
33,Philipp Kohlschreiber,NULL,NULL,NULL,NULL,NULL,88,86,62,32,28,27,34,43,20,22,24,34,32,29,34
34,Nick Kyrgios,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52,30,13,21,35
35,Marton Fucsovics,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85,36
36,Andreas Seppi,NULL,NULL,NULL,NULL,NULL,NULL,68,74,50,35,49,52,38,23,25,45,29,87,86,37
37,John Millman,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92,84,NULL,38
